19-3-6 下午12:59
项目统计

     	     片段	     词汇	 字符（无空白）	 字符（含空白）	#Files	
总共：  	1006522	4257057	36375270	38044126	  6142	
剩余：  	 973565	4153753	35750194	37347858	  6142	
独特：  	 251106	1495192	12745031	13643919	  5825	
剩余独特：	 250293	1486339	12700482	13591289	  5824	


单文件统计：

文件名                                                                                                                                               	  总片段	 剩余片段	 独特片段	剩余独特片段	  总计词汇	  剩余词汇	 独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
4.0.1/d0/d19/structcv_1_1cudev_1_1SingleMaskChannelsSz.html                                                                                       	   90	   89	   43	    43	   378	   374	  210	   210	    3420	     3396	     1978	       1978	    3527	     3500	     2045	       2045	
4.0.1/d0/d19/structcvflann_1_1AutotunedIndexParams-members.html                                                                                   	   28	   27	    6	     6	    99	    95	   44	    44	     892	      868	      420	        420	     935	      908	      441	        441	
4.0.1/d0/d1a/namespacecv_1_1gapi_1_1fluid.html                                                                                                    	   75	   72	   31	    31	   272	   266	  128	   128	    2005	     1965	      968	        968	    2063	     2020	     1002	       1002	
4.0.1/d0/d1a/structcv_1_1cudev_1_1acos__func_3_01uint_01_4-members.html                                                                           	   38	   37	   10	    10	   183	   179	   68	    68	    1245	     1221	      423	        423	    1299	     1272	      452	        452	
4.0.1/d0/d1c/classcv_1_1detail_1_1PlanePortraitWarper-members.html                                                                                	   85	   84	   34	    34	   412	   408	  237	   237	    3775	     3751	     2213	       2213	    3894	     3867	     2294	       2294	
4.0.1/d0/d1c/classcv_1_1EMDHistogramCostExtractor.html                                                                                            	  200	  175	   40	    40	   787	   681	  170	   170	    7166	     6555	     1915	       1915	    7452	     6759	     1965	       1965	
4.0.1/d0/d1c/classcv_1_1videostab_1_1MotionEstimatorRansacL2-members.html                                                                         	   74	   73	   30	    30	   324	   320	  169	   169	    3065	     3041	     1739	       1739	    3116	     3089	     1768	       1768	
4.0.1/d0/d1c/classcv_1_1viz_1_1WPaintedCloud-members.html                                                                                         	  204	  203	   47	    47	  1002	   998	  278	   278	    7406	     7382	     2356	       2356	    7511	     7484	     2412	       2412	
4.0.1/d0/d1c/structcv_1_1cudev_1_1RGBA__to__HSV__FULL__func_3_01float_01_4.html                                                                   	   34	   33	    6	     6	   155	   151	   56	    56	    1130	     1106	      377	        377	    1184	     1157	      395	        395	
4.0.1/d0/d1d/structcv_1_1detail_1_1last__type.html                                                                                                	   27	   26	    7	     7	    90	    86	   33	    33	     683	      659	      267	        267	     723	      696	      277	        277	
4.0.1/d0/d1d/structcv_1_1dpm_1_1DPMDetector_1_1ObjectDetection-members.html                                                                       	   47	   46	   19	    19	   226	   222	  113	   113	    1833	     1809	      957	        957	    1875	     1848	      977	        977	
4.0.1/d0/d1e/classcv_1_1plot_1_1Plot2d.html                                                                                                       	  557	  528	  171	   171	  1604	  1495	  625	   625	   14304	    13663	     5967	       5967	   14824	    14102	     6178	       6178	
4.0.1/d0/d1e/gapi.html                                                                                                                            	  162	  160	  110	   110	  1171	  1166	  933	   933	    7660	     7632	     5803	       5803	    8376	     8345	     6438	       6438	
4.0.1/d0/d1f/structcv_1_1cudev_1_1tanh__func_3_01float_01_4-members.html                                                                          	   38	   37	    8	     8	   183	   179	   64	    64	    1256	     1232	      393	        393	    1310	     1283	      420	        420	
4.0.1/d0/d21/classcv_1_1ConjGradSolver.html                                                                                                       	  275	  244	   75	    75	  1615	  1505	  689	   689	   13418	    12777	     4869	       4869	   14230	    13509	     5383	       5383	
4.0.1/d0/d21/classcv_1_1viz_1_1WTrajectory-members.html                                                                                           	  208	  207	   13	    13	  1017	  1013	   87	    87	    7594	     7570	      764	        764	    7692	     7665	      792	        792	
4.0.1/d0/d22/classcv_1_1Subdiv2D-members.html                                                                                                     	  247	  246	  107	   107	   951	   947	  528	   528	    8591	     8567	     5561	       5561	    8742	     8715	     5690	       5690	
4.0.1/d0/d23/classcv_1_1TrackerStateEstimatorAdaBoosting_1_1TrackerAdaBoostingTargetState-members.html                                            	   94	   93	   41	    41	   373	   369	  197	   197	    4582	     4558	     2596	       2596	    4641	     4614	     2633	       2633	
4.0.1/d0/d23/py__tutorials_8markdown.html                                                                                                         	   17	   16	    2	     2	    53	    49	   17	    17	     467	      443	      189	        189	     492	      465	      194	        194	
4.0.1/d0/d23/structcv_1_1cudev_1_1PtrTraits_3_01SobelYPtrSz_3_01SrcPtr_01_4_01_4-members.html                                                     	   56	   55	   20	    20	   291	   287	  136	   136	    2347	     2323	     1167	       1167	    2460	     2433	     1216	       1216	
4.0.1/d0/d24/classcv_1_1GComputationT_3_01R_07Args_8_8_8_08_4-members.html                                                                        	   47	   46	   15	    15	   292	   288	  145	   145	    1840	     1816	      978	        978	    1902	     1875	     1014	       1014	
4.0.1/d0/d24/stereo_8hpp.html                                                                                                                     	   87	   82	   49	    49	   316	   296	  243	   243	    2908	     2797	     2371	       2371	    3026	     2900	     2456	       2456	
4.0.1/d0/d25/gapi_kernel_api.html                                                                                                                 	  277	  275	  162	   161	  1872	  1862	 1495	  1489	   12269	    12212	     9368	       9335	   13498	    13433	    10556	      10518	
4.0.1/d0/d26/classcv_1_1TrackerMIL.html                                                                                                           	  278	  242	   32	    32	  1154	  1006	  154	   154	   10099	     9233	     1309	       1309	   10495	     9515	     1385	       1385	
4.0.1/d0/d28/classcv_1_1ppf__match__3d_1_1PPF3DDetector-members.html                                                                              	  138	  137	   55	    55	   734	   730	  357	   357	    5947	     5923	     3257	       3257	    6017	     5990	     3305	       3305	
4.0.1/d0/d28/group__highgui__c.html                                                                                                               	   19	   18	    4	     4	    47	    43	   11	    11	     338	      314	       60	         60	     362	      335	       64	         64	
4.0.1/d0/d28/structcvflann_1_1L2__Simple-members.html                                                                                             	   49	   48	   16	    16	   210	   206	  101	   101	    1624	     1600	      839	        839	    1694	     1667	      876	        876	
4.0.1/d0/d28/structcvflann_1_1UniqueResultSet_1_1DistIndex.html                                                                                   	   82	   78	   28	    28	   260	   249	   95	    95	    2702	     2625	     1157	       1157	    2798	     2714	     1206	       1206	
4.0.1/d0/d2a/structcv_1_1cudev_1_1AffineMapPtr.html                                                                                               	   79	   75	   35	    35	   271	   260	  157	   157	    2320	     2243	     1409	       1409	    2411	     2327	     1453	       1453	
4.0.1/d0/d2b/fast__math_8hpp.html                                                                                                                 	   85	   77	   40	    40	   283	   272	  189	   189	    2527	     2450	     1745	       1745	    2620	     2540	     1818	       1818	
4.0.1/d0/d2b/tr__icdar_8hpp.html                                                                                                                  	   54	   52	   21	    21	   155	   138	   78	    78	    1378	     1288	      755	        755	    1421	     1316	      766	        766	
4.0.1/d0/d2c/classcv_1_1cudev_1_1color__cvt__detail_1_1RGB2Luv.html                                                                               	   54	   52	   36	    36	   316	   301	  254	   254	    2160	     2075	     1680	       1680	    2230	     2132	     1720	       1720	
4.0.1/d0/d2c/structcv_1_1datasets_1_1OR__mnistObj.html                                                                                            	   53	   52	   25	    25	   200	   196	  119	   119	    1578	     1554	     1002	       1002	    1638	     1611	     1023	       1023	
4.0.1/d0/d2d/structcvflann_1_1index__creator-members.html                                                                                         	   28	   27	    7	     7	   113	   109	   56	    56	     952	      928	      506	        506	    1011	      984	      543	        543	
4.0.1/d0/d2e/classcv_1_1CommandLineParser.html                                                                                                    	  570	  528	  339	   336	  2908	  2831	 2312	  2306	   25508	    24949	    19897	      19821	   26415	    25818	    20628	      20549	
4.0.1/d0/d2e/classcv_1_1TrackerSamplerCS-members.html                                                                                             	   79	   78	   31	    31	   296	   292	  159	   159	    3092	     3068	     1848	       1848	    3158	     3131	     1891	       1891	
4.0.1/d0/d2e/intro_8markdown.html                                                                                                                 	   17	   16	    2	     2	    47	    43	   11	    11	     357	      333	       79	         79	     382	      355	       84	         84	
4.0.1/d0/d31/py__contours__hierarchy_8markdown.html                                                                                               	   17	   16	    2	     2	    59	    55	   23	    23	     575	      551	      297	        297	     600	      573	      302	        302	
4.0.1/d0/d32/structcv_1_1cudev_1_1Luv__to__LRGBA__func.html                                                                                       	   34	   33	    8	     8	   142	   138	   55	    55	    1076	     1052	      397	        397	    1128	     1101	      413	        413	
4.0.1/d0/d32/structcv_1_1cudev_1_1minus-members.html                                                                                              	   30	   29	    6	     6	   118	   114	   42	    42	     814	      790	      257	        257	     866	      839	      277	        277	
4.0.1/d0/d33/structcv_1_1cudev_1_1MakeVec_3_01uchar_00_012_01_4.html                                                                              	   44	   43	   13	    13	   211	   207	   99	    99	    1506	     1482	      684	        684	    1574	     1547	      708	        708	
4.0.1/d0/d33/tutorial_table_of_content_stitching.html                                                                                             	   28	   27	   14	    14	   125	   121	  102	   102	     781	      757	      551	        551	     874	      847	      638	        638	
4.0.1/d0/d38/modules_2shape_2samples_2shape_example_8cpp-example.html                                                                             	  180	  179	  103	   103	   700	   696	  485	   485	    6321	     6297	     3979	       3979	    6562	     6535	     4211	       4211	
4.0.1/d0/d3a/classcv_1_1DataType.html                                                                                                             	  103	   97	   55	    55	   717	   697	  520	   520	    4673	     4554	     3148	       3148	    5149	     5016	     3528	       3528	
4.0.1/d0/d3a/structcv_1_1cudev_1_1vec__math__detail_1_1SatCastHelper_3_011_00_01VecD_01_4-members.html                                            	   32	   31	    9	     9	   173	   169	   86	    86	    1123	     1099	      554	        554	    1173	     1146	      582	        582	
4.0.1/d0/d3c/classcv_1_1aruco_1_1CharucoBoard.html                                                                                                	  268	  248	  121	   121	  1130	  1052	  584	   584	    8906	     8423	     4701	       4701	    9426	     8885	     5004	       5004	
4.0.1/d0/d3c/classcv_1_1face_1_1PredictCollector-members.html                                                                                     	   40	   39	   13	    13	   154	   150	   71	    71	    1214	     1190	      587	        587	    1255	     1228	      605	        605	
4.0.1/d0/d3c/classcv_1_1superres_1_1FrameSource-members.html                                                                                      	   40	   39	   13	    13	   150	   146	   68	    68	    1183	     1159	      570	        570	    1222	     1195	      585	        585	
4.0.1/d0/d3c/NCVHaarObjectDetection_8hpp.html                                                                                                     	  298	  296	  134	   134	  1129	  1124	  616	   616	   14920	    14887	     8796	       8796	   15290	    15254	     9145	       9145	
4.0.1/d0/d40/structcv_1_1cudev_1_1VecTraits_3_01ushort2_01_4.html                                                                                 	  103	  101	   37	    37	   442	   435	  185	   185	    3667	     3616	     1475	       1475	    3798	     3742	     1534	       1534	
4.0.1/d0/d41/classcv_1_1ocl_1_1PlatformInfo-members.html                                                                                          	   71	   70	   29	    29	   312	   308	  153	   153	    2471	     2447	     1349	       1349	    2520	     2493	     1376	       1376	
4.0.1/d0/d42/structcv_1_1cudev_1_1log10__func_3_01float_01_4.html                                                                                 	   63	   59	   13	    13	   276	   265	  112	   112	    2032	     1955	      716	        716	    2122	     2038	      749	        749	
4.0.1/d0/d43/classcv_1_1cuda_1_1CannyEdgeDetector.html                                                                                            	  314	  284	   74	    74	  1219	  1108	  321	   321	   10454	     9808	     3093	       3093	   10889	    10161	     3205	       3205	
4.0.1/d0/d43/structcv_1_1cudev_1_1asinh__func.html                                                                                                	   57	   53	   14	    14	   257	   246	   99	    99	    1979	     1902	      783	        783	    2068	     1984	      819	        819	
4.0.1/d0/d43/t__hash__int_8hpp.html                                                                                                               	  117	  112	   51	    51	   440	   419	  264	   264	    4296	     4171	     2700	       2700	    4410	     4269	     2778	       2778	
4.0.1/d0/d43/tutorial_js_table_of_contents_contours.html                                                                                          	   36	   24	   20	    10	   125	    66	   87	    34	    1048	      654	      755	        400	    1124	      681	      810	        410	
4.0.1/d0/d44/classcv_1_1cuda_1_1HostMem.html                                                                                                      	  665	  643	  247	   247	  2012	  1972	 1091	  1091	   17095	    16853	     9220	       9220	   17773	    17513	     9694	       9694	
4.0.1/d0/d44/namespacecv_1_1datasets.html                                                                                                         	  331	  329	  215	   215	  1063	  1058	  895	   895	    9574	     9541	     8464	       8464	    9763	     9727	     8633	       8633	
